Sample_ID,Accession,Continent,Country,Region,Strain,Latitude,Longitude,year_of_collection,Pot.Field,Host,avg_gw_coverage,num_het_pos,var_het_ratio,mating_type,Status_world,Status_ext_eur,Status_recent_ext_eur,excluded_reason,avrpm17_covg_ratio,AvrPm17_variant,avrpm17_cluster,pheno_amigo,pheno_pm3e2,fs_level_1,fs_level_2,fs_level_3,fs_level_4,fs_level_5,fs_level_6,fs_level_7,fs_level_8,fs_level_9,fs_level_10,anc1,anc2,anc3,anc4,anc5,anc6,anc7,anc8,anc9,wind_coord1,wind_coord2,wind_coord3,bio2,bio3,bio4,bio7,bio8,bio16,bio19,hurs_range,rsds_range,vpd_range,clt_mean,clt_range
DKES062203,ERR13759531,Europe,Denmark,Esbjerg,tritici,55.518111,8.453419,2022,Pot,4n,41.31,98648,2.335,1_1_3,Included,Included,Included,NA,1.977,C,4,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR2,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,-1248.60486603372,-290.256124817487,-207.574264286424,-2.19865822089645,-1.92526803454424,-1.18296806113781,-2.1221357640604,-0.704178480653767,0.75102678282056,0.435526022451443,-0.73613160319027,0.687922961637513,-1.21794672879164,0.962117235899717,-0.924274616905921
ESAN032201,ERR13760303,Europe,Spain,Seville,tritici,37.35194444,-5.938055556,2022,Field,4n,30.91,114053,2.317,1_1_3,Included,Included,Included,NA,1.664,C,6,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,187.228244210361,-306.872397559622,226.806702025398,1.01880060717136,1.05320624758055,-0.684761404612475,0.414579655067021,0.354912904808225,0.575986507491133,0.766817643292026,0.211153646677118,1.72022581136881,1.03273349381019,-0.965360086781093,0.610039162896727
ESAN032203,ERR13761074,Europe,Spain,Seville,tritici,37.35194444,-5.938055556,2022,Field,4n,41.09,108567,2.635,1_2_1,Included,Included,Included,NA,2.049,C,6,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,187.228244210361,-306.872397559622,226.806702025398,1.01880060717136,1.05320624758055,-0.684761404612475,0.414579655067021,0.354912904808225,0.575986507491133,0.766817643292026,0.211153646677118,1.72022581136881,1.03273349381019,-0.965360086781093,0.610039162896727
ESAN032205,ERR13761843,Europe,Spain,Seville,tritici,37.35194444,-5.938055556,2022,Field,4n,26.8,98553,2.635,1_2_1,Included,Included,Included,NA,2.061,B,3,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,187.228244210361,-306.872397559622,226.806702025398,1.01880060717136,1.05320624758055,-0.684761404612475,0.414579655067021,0.354912904808225,0.575986507491133,0.766817643292026,0.211153646677118,1.72022581136881,1.03273349381019,-0.965360086781093,0.610039162896727
ESAN032208,ERR13761845,Europe,Spain,Seville,tritici,37.35194444,-5.938055556,2022,Field,6n,30.58,104492,2.448,1_1_3,Included,Included,Included,NA,1.907,C,6,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N1,SPAIN_N1,0.79701,1e-05,1e-05,1e-05,1e-05,0.20292,1e-05,1e-05,1e-05,187.228244210361,-306.872397559622,226.806702025398,1.01880060717136,1.05320624758055,-0.684761404612475,0.414579655067021,0.354912904808225,0.575986507491133,0.766817643292026,0.211153646677118,1.72022581136881,1.03273349381019,-0.965360086781093,0.610039162896727
ESAN032210,ERR13761910,Europe,Spain,Seville,tritici,37.35194444,-5.938055556,2022,Field,6n,32.27,108892,2.464,1_1_3,Included,Included,Included,NA,1.776,C,6,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.999917,1e-05,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,1e-05,187.228244210361,-306.872397559622,226.806702025398,1.01880060717136,1.05320624758055,-0.684761404612475,0.414579655067021,0.354912904808225,0.575986507491133,0.766817643292026,0.211153646677118,1.72022581136881,1.03273349381019,-0.965360086781093,0.610039162896727
ESAN032212,ERR13762615,Europe,Spain,Ecija,tritici,37.53833333,-5.107222222,2022,Field,4n,36.62,115306,2.389,1_1_3,Included,Included,Included,NA,1.798,C,6,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,187.228244210361,-306.872397559622,226.806702025398,1.18814054549071,0.911373906315185,-0.166480487201504,0.825285961020985,0.195050054172451,0.612497975964756,0.849929130053427,1.70750232162688,1.78413949624899,1.56580265174882,-0.93255573492314,0.70422476126085
ESAN032214,ERR13762613,Europe,Spain,Ecija,tritici,37.53833333,-5.107222222,2022,Field,4n,35.15,116844,2.342,1_1_3,Included,Included,Included,NA,1.772,C,6,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,187.228244210361,-306.872397559622,226.806702025398,1.18814054549071,0.911373906315185,-0.166480487201504,0.825285961020985,0.195050054172451,0.612497975964756,0.849929130053427,1.70750232162688,1.78413949624899,1.56580265174882,-0.93255573492314,0.70422476126085
ESAN032215,ERR13762616,Europe,Spain,Ecija,tritici,37.53833333,-5.107222222,2022,Field,4n,34.34,121106,2.31,1_1_3,Included,Included,Included,NA,1.876,C,6,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,187.228244210361,-306.872397559622,226.806702025398,1.18814054549071,0.911373906315185,-0.166480487201504,0.825285961020985,0.195050054172451,0.612497975964756,0.849929130053427,1.70750232162688,1.78413949624899,1.56580265174882,-0.93255573492314,0.70422476126085
ESAN032216,ERR13762617,Europe,Spain,Ecija,tritici,37.53833333,-5.107222222,2022,Field,6n,39.47,120004,2.34,1_2_1,Included,Included,Included,NA,1.992,C,6,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,187.228244210361,-306.872397559622,226.806702025398,1.18814054549071,0.911373906315185,-0.166480487201504,0.825285961020985,0.195050054172451,0.612497975964756,0.849929130053427,1.70750232162688,1.78413949624899,1.56580265174882,-0.93255573492314,0.70422476126085
ESAN032219,ERR13762618,Europe,Spain,Ecija,tritici,37.53833333,-5.107222222,2022,Field,4n,30.2,113713,2.393,1_1_3,Included,Included,Included,NA,2.011,NA,6,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,187.228244210361,-306.872397559622,226.806702025398,1.18814054549071,0.911373906315185,-0.166480487201504,0.825285961020985,0.195050054172451,0.612497975964756,0.849929130053427,1.70750232162688,1.78413949624899,1.56580265174882,-0.93255573492314,0.70422476126085
ESAN032222,ERR13762620,Europe,Spain,Escacena,tritici,37.45583333,-6.364444444,2022,Field,4n,28.76,108930,2.418,1_1_3,Included,Included,Included,NA,1.912,C,1,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,161.801570036593,-332.653982938737,249.093837046649,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
ESAN032225,ERR13762621,Europe,Spain,Escacena,tritici,37.45583333,-6.364444444,2022,Field,4n,35.07,105627,2.661,1_2_1,Included,Included,Included,NA,1.893,B,3,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,161.801570036593,-332.653982938737,249.093837046649,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
ESAN032226,ERR13762624,Europe,Spain,Escacena,tritici,37.45583333,-6.364444444,2022,Field,4n,25.71,104501,2.522,1_1_3,Included,Included,Included,NA,2.124,C,1,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.978311,1e-05,1e-05,1e-05,1e-05,0.021619,1e-05,1e-05,1e-05,161.801570036593,-332.653982938737,249.093837046649,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
ESAN032227,ERR13762622,Europe,Spain,Escacena,tritici,37.45583333,-6.364444444,2022,Field,6n,34.1,115840,2.354,1_1_3,Included,Included,Included,NA,1.938,C,NA,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,161.801570036593,-332.653982938737,249.093837046649,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
ESAN042303,ERR13762627,Europe,Spain,Cordoba,tritici,37.77916667,-4.78833333,2023,Field,4n,38.16,119723,2.308,1_1_3,Included,Included,Included,NA,1.769,C,6,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,139.39750027324,-294.695391946565,211.42249835186,1.18814054549071,0.785301048058645,0.00688812953808081,0.994400322296148,0.175067197842975,0.774651850656433,0.993065579475839,1.74370430569824,1.98169088587861,1.71026515254756,-0.91482365283776,0.71637774169493
ESAN042310,ERR13762625,Europe,Spain,Cordoba,tritici,37.77916667,-4.78833333,2023,Field,4n,26.54,107102,2.378,1_1_3,Included,Included,Included,NA,1.894,C,6,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,139.39750027324,-294.695391946565,211.42249835186,1.18814054549071,0.785301048058645,0.00688812953808081,0.994400322296148,0.175067197842975,0.774651850656433,0.993065579475839,1.74370430569824,1.98169088587861,1.71026515254756,-0.91482365283776,0.71637774169493
ESAN042315,ERR13762628,Europe,Spain,Escacena,tritici,37.45472222,-6.36333333,2023,Field,4n,35.94,110338,2.401,1_2_1,Included,Included,Included,NA,1.927,B,3,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.994141,1e-05,0.005789,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,161.801570036593,-332.653982938737,249.093837046649,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
ESAN042318,ERR13762626,Europe,Spain,Escacena,tritici,37.45472222,-6.36333333,2023,Field,4n,31.86,109425,2.419,1_2_1,Included,Included,Included,NA,1.752,C,1,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_S,SPAIN_S,SPAIN_S,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,161.801570036593,-332.653982938737,249.093837046649,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
ESCT052202,ERR13762629,Europe,Spain,Sucs,tritici,41.69156,0.42648,2022,Field,4n,32.09,101851,2.304,1_1_3,Included,Included,Included,NA,2.359,C,4,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.394732,1e-05,1e-05,1e-05,1e-05,0.605198,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT052207,ERR13762630,Europe,Spain,Olius,tritici,41.98899,1.56179,2022,Field,6n,33.09,95754,2.534,1_1_3,Included,Included,Included,NA,2.031,A,5,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.407186,1e-05,1e-05,1e-05,1e-05,0.592744,1e-05,1e-05,1e-05,-197.672978745865,-173.770310196522,155.200301395359,0.764790699692318,0.738023726212443,-0.238565333109017,0.414579655067021,0.714604318738715,-0.178941796537006,-0.755738621128633,-1.47525544464731,0.430977036563681,-0.265405020372591,-0.420098562655657,-1.19467843156421
ESCT052302,ERR13762635,Europe,Spain,Sucs (Lleida),tritici,41.69156,0.42648,2023,Field,4n,76.41,117077,2.434,1_2_1,Included,Included,Included,NA,1.677,C,1,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N1,SPAIN_N3,0.878199,1e-05,1e-05,1e-05,1e-05,0.121731,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT052307,ERR13762634,Europe,Spain,Sucs (Lleida),tritici,41.69156,0.42648,2023,Field,6n,31.96,102701,2.211,1_1_3,Included,Included,Included,NA,1.801,NA,NA,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.34416,1e-05,1e-05,1e-05,1e-05,0.65577,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT052309,ERR13762633,Europe,Spain,Sucs (Lleida),tritici,41.69156,0.42648,2023,Field,6n,28.33,98291,2.372,1_2_1,Included,Included,Included,NA,1.63,C,4,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.390355,1e-05,1e-05,1e-05,1e-05,0.609575,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT062210,ERR13762632,Europe,Spain,Sucs,tritici,41.69156,0.42648,2022,Field,6n,42.43,106401,2.317,1_2_1,Included,Included,Included,NA,3.88,C,7,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.357385,1e-05,0.00182,1e-05,1e-05,0.640735,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT062211,ERR13762640,Europe,Spain,Sucs,tritici,41.69156,0.42648,2022,Field,4n,33.23,118825,2.292,1_1_3,Included,Included,Included,NA,2.126,C,1,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N1,SPAIN_N3,0.885809,1e-05,1e-05,1e-05,1e-05,0.114121,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT062212,ERR13762637,Europe,Spain,Sucs,tritici,41.69156,0.42648,2022,Field,4n,41.49,122556,2.279,1_1_3,Excluded,Excluded,Excluded,clone_ESCT062211,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESCT062216,ERR13762641,Europe,Spain,Sucs,tritici,41.69156,0.42648,2022,Field,4n,35.23,105982,2.368,1_1_3,Included,Included,Included,NA,2.012,B,NA,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.45915,1e-05,1e-05,1e-05,1e-05,0.54078,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT062217,ERR13762638,Europe,Spain,Sucs,tritici,41.69156,0.42648,2022,Field,4n,34.69,119528,2.272,1_2_1,Included,Included,Included,NA,1.915,C,1,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N1,SPAIN_N3,0.9206,1e-05,1e-05,0.005709,1e-05,0.073632,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT062219,ERR13762642,Europe,Spain,Sucs,tritici,41.69156,0.42648,2022,Field,4n,36.26,117764,2.3,1_1_3,Included,Included,Included,NA,2.05,B,3,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N1,SPAIN_N3,0.891002,1e-05,1e-05,1e-05,1e-05,0.108928,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT062221,ERR13762645,Europe,Spain,Sucs,tritici,41.69156,0.42648,2022,Field,6n,42.48,113700,2.263,1_2_1,Included,Included,Included,NA,1.898,C,NA,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.409363,1e-05,1e-05,1e-05,1e-05,0.590567,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT062224,ERR13762644,Europe,Spain,Sucs,tritici,41.69156,0.42648,2022,Field,6n,39.75,113469,2.225,1_1_3,Included,Included,Included,NA,1.979,C,3,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.430681,1e-05,1e-05,1e-05,1e-05,0.569249,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESCT062226,ERR13762648,Europe,Spain,Sucs,tritici,41.69156,0.42648,2022,Field,6n,30.06,99987,2.481,1_2_1,Included,Included,Included,NA,1.557,B,1,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.512169,1e-05,1e-05,1e-05,1e-05,0.487761,1e-05,1e-05,1e-05,-160.3864445437,-182.200169000162,158.319426349469,1.14580556091087,0.643469082520038,0.318951639669333,1.09103710016767,0.974381451021835,-1.04018290582658,-1.06278939166381,0.651611119545394,1.21408107453996,0.947219789309352,-0.72863679094127,-0.751094645720276
ESMA052301,ERR13762646,Europe,Spain,Mallorca,tritici,39.6710517,2.5752214,2023,Pot,6n,24.68,96128,2.385,1_2_1,Included,Included,Included,NA,2.091,C,1,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.471355,1e-05,1e-05,1e-05,1e-05,0.528575,1e-05,1e-05,1e-05,64.5853110209801,-188.043530271496,186.050346865018,-2.36799815921581,-2.16165483163863,-1.52514296259752,-2.33956851427133,0.354912904808225,0.929288658309424,0.202352129037514,-1.55670990880788,0.573007447408512,-0.527259115515677,-0.834142679349281,-0.0826807218458545
ESMA052302,ERR13762649,Europe,Spain,Mallorca,tritici,39.6710517,2.5752214,2023,Pot,4n,30.45,101045,2.411,1_2_1,Included,Included,Included,NA,1.981,B/C,NA,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.443944,1e-05,1e-05,1e-05,1e-05,0.555986,1e-05,1e-05,1e-05,64.5853110209801,-188.043530271496,186.050346865018,-2.36799815921581,-2.16165483163863,-1.52514296259752,-2.33956851427133,0.354912904808225,0.929288658309424,0.202352129037514,-1.55670990880788,0.573007447408512,-0.527259115515677,-0.834142679349281,-0.0826807218458545
ESMD052201,ERR13762674,Europe,Spain,Madrid,tritici,40.41132191,-3.703662473,2022,Pot,6n,38.28,93813,2.558,1_2_1,Included,Included,Included,NA,3.924,C,7,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.374369,1e-05,1e-05,1e-05,1e-05,0.625561,1e-05,1e-05,1e-05,-91.1379870406943,-218.515276614586,177.597411870615,1.06113559175119,0.580432653391768,0.491407790005025,1.01855951676403,-0.704178480653767,-0.687954621728098,-0.580281037965676,2.54919845128612,2.1166197761812,1.50988984495981,-0.703811876021738,0.518891809641124
ESMD052202,ERR13762673,Europe,Spain,Madrid,tritici,40.40557644,-3.833207604,2022,Pot,NA,42.1,95399,2.655,1_2_1,Included,Included,Included,NA,3.823,C,7,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.322495,1e-05,1e-05,1e-05,1e-05,0.677435,1e-05,1e-05,1e-05,-91.1379870406943,-218.515276614586,177.597411870615,0.976465622591516,0.533154955818811,0.439397204983151,0.970241127828267,-0.784109905971649,-0.274515934600312,-0.25591537435521,2.90518462798787,2.33676691299069,1.43044811947679,-0.582347113736884,0.906268060977436
ESSA052201,ERR13762650,Europe,Spain,Salamanca,tritici,40.94896369,-5.637335385,2022,Field,NA,29.23,99139,2.414,1_2_1,Included,Included,Included,NA,2.155,C,NA,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.388254,1e-05,1e-05,1e-05,1e-05,0.598908,0.012778,1e-05,1e-05,-150.275217233779,-218.396675227727,166.322401037717,0.849460668851997,0.848337477186915,-0.318862376651561,0.366261266131261,-1.02390418192532,-0.549425814872294,-0.349415796961785,2.13287563446542,2.28253711975903,0.35292484294113,-0.363355899982441,1.22376467481779
ESSA052202,ERR13762675,Europe,Spain,Salamanca,tritici,40.95574203,-5.292118509,2022,Field,NA,37.79,100490,2.492,1_2_1,Included,Included,Included,NA,2.139,C,1,NA,A,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.409842,1e-05,1e-05,1e-05,1e-05,0.590088,1e-05,1e-05,1e-05,-150.275217233779,-218.396675227727,166.322401037717,0.849460668851997,0.848337477186915,-0.318862376651561,0.366261266131261,-1.02390418192532,-0.549425814872294,-0.349415796961785,2.13287563446542,2.28253711975903,0.35292484294113,-0.363355899982441,1.22376467481779
ESSA062301,ERR13762677,Europe,Spain,Salamanca,tritici,40.9236794296207,-5.36371206804169,2023,Pot,6n,25.69,104864,2.269,1_2_1,Included,Included,Included,NA,2.219,B/C,NA,NA,NA,S_EUR_ME,S_EUR2,S_EUR2,S_EUR2,S_EUR2,S_EUR2,SPAIN,SPAIN_N,SPAIN_N2,SPAIN_N2,0.462704,1e-05,1e-05,1e-05,1e-05,0.537226,1e-05,1e-05,1e-05,-150.275217233779,-218.396675227727,166.322401037717,0.849460668851997,0.87985569175105,-0.328899507094379,0.34210207166338,-0.983938469266364,-0.545130347993045,-0.343644165936688,2.04538750629295,2.20635717212408,0.355707833324293,-0.386407606693435,1.15540415987608
FRA_ASOSAN_95_9,SRR11548197,Europe,France,France,tritici,NA,NA,1995,NA,NA,28.31,92883,2.469,1_2_1,Included,Included,Excluded,NA,1.963,A,5,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old+,0.131445,1e-05,1e-05,1e-05,1e-05,0.703763,0.164732,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
